"race" "fire" "theft" "age" "involact" "income"
10 6.2 29 60.4 0 11744
22.2 9.5 44 76.5 0.1 9323
19.6 10.5 36 73.5 1.2 9948
17.3 7.7 37 66.9 0.5 10656
24.5 8.6 53 81.4 0.7 9730
4.9 11 75 42.6 0 21480
7.1 6.9 18 78.5 0 11104
5.3 7.3 31 90.1 0.4 10694
21.5 15.1 25 89.8 1.1 9631
43.1 29.1 34 82.7 1.9 7995
1.1 2.2 14 40.2 0 13722
1 5.7 11 27.9 0 16250
1.7 2 11 7.7 0 13686
1.6 2.5 22 63.8 0 12405
1.5 3 17 51.2 0 12198
1.8 5.4 27 85.1 0 11600
1 2.2 9 44.4 0 12765
2.5 7.2 29 84.2 0.2 11084
13.4 15.1 30 89.8 0.8 10510
59.8 16.5 40 72.7 0.8 9784
94.4 18.4 32 72.9 1.8 7342
86.2 36.2 41 63.1 1.8 6565
50.2 39.7 147 83 0.9 7459
55.5 23.3 29 79 1.5 8177
62.3 12.2 46 48 0.6 8212
4.4 5.6 23 71.5 0.3 11230
46.2 21.8 4 73.1 1.3 8330
99.7 21.6 31 65 0.9 5583
73.5 9 39 75.4 0.4 8564
10.7 3.6 15 20.8 0 12102
1.5 5 32 61.8 0 11876
48.8 28.6 27 78.1 1.4 9742
90.6 11.3 34 73.4 0.8 7388
1.4 3.4 17 2 0 13842
71.2 11.9 46 57 0.9 11040
94.1 10.5 42 55.9 0.9 10332
66.1 10.7 43 67.5 0.4 10908
36.4 10.8 34 58 0.9 11156
1 4.8 19 15.2 0 13323
42.5 10.4 25 40.8 0.5 12960
35.1 15.6 28 57.8 1 11260
47.4 7 3 11.4 0.2 10080
34 7.1 23 49.2 0.3 11428
3.1 4.9 27 46.6 0 13731
