"windspeed" "temperature" "dewpointtemp"
0 -2 -5
1 -3 -6
0 -5 -7
5.1 -5 -9
0.5 -5 -6
0.5 -5.8 -6.8
0 -3.6 -6.8
0 -7.1 -8.5
2.1 -2 -6
3.1 -1 -5
0 -8.6 -9
2.1 -1 -5
3 -6 -8.8
0 -10.6 -11.8
1.5 -9.5 -10.5
0 -5.7 -7.8
2.5 -1.1 -3.4
3.5 0.8 -5.1
1.7 0.2 -5.6
0 -2.3 -6.7
2.2 -0.6 -5
3.1 -2.2 -5.6
2.2 -1.7 -6.2
3.1 -1.7 -4.3
2.2 -1.1 -4.9
1.5 -1.7 -6.1
1.8 0 -5.5
2.7 -1.7 -6.1
3.5 -2 -6
0 -2 -8.1
2 -7.1 -9.3
0 -4.4 -8.2
0 -4 -7.9
0 -5.2 -8
0 -6.2 -7.3
0 -4 -5.1
0.2 -6.8 -10.6
0 -8.4 -10.1
3.1 -4.4 -8.3
0 -6.3 -8.4
0.2 -7.9 -10.1
0 -4 -7.7
0.7 -8.4 -10.5
0 -7.6 -8.7
0 -6.2 -8.5
1.6 -7.9 -9.5
0 -7.3 -9.4
0 -7 -8
2.6 -2.9 -7.4
0 -5 -7.8
3 -7.2 -11.1
0.8 -8.8 -10.8
1.9 -8.2 -9.9
7.2 -0.2 -5.8
1 -0.9 -4.4
1.5 -4 -6
0.5 -3 -6
1.5 -4 -7
0.5 -4 -6
1 -5 -8
0 -9.4 -10
2.6 -4 -7
0 -4.1 -6.1
1.6 -1 -3
0 -3 -5
0 -6 -7
3.2 -1 -5
3.1 -2 -3
1.7 -6.9 -9.2
2.5 -1.1 -5
2.2 0 -5
1.4 -0.3 -4.6
2.6 -1.1 -4.4
2.2 0 -4.2
2.6 -1.1 -6.7
0 -5.7 -7.8
3.2 -1 -5.9
1.6 -1 -4
3.3 -1.1 -6.6
1.5 0 -6.1
1.7 -3.8 -7.4
3 -1.1 -5.1
2.6 -1.1 -5.6
0.1 -4 -7.7
0 -2.2 -6.7
2 -1.7 -6
1.6 -4.4 -6.7
2.6 -2.3 -6.8
3.5 -2.2 -5.5
0 -2.9 -7.2
0 -4 -7
2.4 -7.2 -8.6
0.8 -8.7 -10.5
0 -4.9 -7.3
0 -5.3 -6.8
0 -7.9 -9.1
0 -3 -5.6
3.1 -6.7 -9.5
0 -8.3 -10.5
3.2 -7.2 -10
0.1 -9.1 -11.2
1.3 -2.1 -6.1
2.1 -0.6 -5.8
6.2 28 16
4.6 35.2 4.7
4.3 37.8 8.3
2.6 36 12
5.3 34.5 13.4
5.3 31.3 8.6
5.7 27 16
6.5 32 15
6.3 34.9 16
2.5 29.3 11.1
6 31.5 13.8
4.7 30.8 14.7
5.5 31 12.7
3.1 33 12
3.3 33.5 14.5
6.5 29.1 13.5
6.4 27.4 14.7
7.2 27 17
8 24 19.3
4.3 33.8 14.8
6.7 31 17
6.9 27.3 18.9
3.4 32.2 5.6
4.2 32 1
6.7 24 11.3
2.8 23 18.3
6.5 21.9 16.1
7 31.5 4
5.5 37.1 13.2
3 35.7 12.9
4.3 37.3 7.1
4.7 35.8 -0.8
5.6 29.5 9.4
3 30.8 14.5
2.8 34.2 12.4
1.3 29.6 12.6
5.2 25.8 16.2
1.8 23.9 18.7
3.7 34 12.9
4.6 36 12.7
3.4 33.8 11.1
6.4 27.8 17.5
3.4 27.3 17.1
6 25.2 20
3.3 33.6 12.9
4.5 28.9 17.5
6 29.1 17.9
4.8 23 18.1
3.3 22.7 18
