"Gender" "Length" "Diameter" "Height" "Weight" "Shucked" "Viscera" "Shell"
"1788" "M" 0.545 0.42 0.165 0.8935 0.4235 0.2195 0.228
"4140" "F" 0.635 0.495 0.175 1.2355 0.5205 0.3085 0.347
"562" "M" 0.515 0.4 0.12 0.659 0.2705 0.179 0.17
"1984" "F" 0.725 0.57 0.205 1.6195 0.744 0.315 0.488
"3369" "M" 0.61 0.48 0.165 1.097 0.4215 0.264 0.335
"3094" "F" 0.52 0.43 0.15 0.728 0.302 0.1575 0.235
"1065" "M" 0.3 0.22 0.08 0.1255 0.055 0.0265 0.039
"4169" "F" 0.515 0.4 0.125 0.615 0.2865 0.123 0.1765
"1696" "F" 0.63 0.5 0.18 1.1965 0.514 0.2325 0.3995
"2997" "F" 0.62 0.5 0.17 1.148 0.5475 0.22 0.3315
"1254" "M" 0.42 0.305 0.09 0.328 0.168 0.0615 0.082
"789" "F" 0.505 0.39 0.16 0.644 0.2475 0.2025 0.1635
"1441" "M" 0.405 0.29 0.09 0.2825 0.112 0.075 0.0815
"3687" "F" 0.625 0.485 0.135 1.3025 0.61 0.2675 0.3605
"3254" "M" 0.43 0.35 0.105 0.366 0.1705 0.0855 0.11
"2092" "F" 0.505 0.39 0.115 0.66 0.3045 0.1555 0.175
"3322" "M" 0.49 0.385 0.14 0.5425 0.198 0.127 0.175
"1386" "M" 0.63 0.505 0.18 1.272 0.6025 0.295 0.315
"484" "F" 0.58 0.46 0.15 0.9955 0.429 0.212 0.26
"3426" "F" 0.65 0.545 0.185 1.5055 0.6565 0.341 0.43
"3226" "M" 0.44 0.35 0.12 0.375 0.1425 0.0965 0.115
"3875" "F" 0.525 0.41 0.15 0.708 0.274 0.151 0.25
"3767" "F" 0.555 0.44 0.14 0.846 0.346 0.1715 0.2735
"1260" "M" 0.435 0.315 0.11 0.3685 0.1615 0.0715 0.12
"2545" "F" 0.73 0.57 0.165 2.0165 1.0685 0.418 0.435
"3816" "M" 0.46 0.34 0.1 0.386 0.1805 0.0875 0.0965
"2635" "M" 0.425 0.34 0.1 0.3515 0.1625 0.082 0.094
"583" "F" 0.645 0.525 0.19 1.4635 0.6615 0.3435 0.435
"887" "F" 0.675 0.525 0.17 1.8095 0.784 0.391 0.455
"909" "M" 0.335 0.25 0.075 0.1825 0.0705 0.044 0.055
"3928" "M" 0.5 0.38 0.155 0.6675 0.2745 0.156 0.18
"571" "M" 0.45 0.35 0.14 0.474 0.21 0.109 0.1275
"397" "F" 0.5 0.395 0.14 0.7155 0.3165 0.176 0.24
"3434" "M" 0.365 0.27 0.105 0.2155 0.0915 0.0475 0.063
"213" "F" 0.415 0.325 0.105 0.38 0.1595 0.0785 0.12
"475" "F" 0.545 0.415 0.16 0.7715 0.272 0.1455 0.2765
"3012" "M" 0.375 0.285 0.09 0.237 0.106 0.0395 0.08
"2510" "M" 0.415 0.315 0.09 0.3625 0.175 0.0835 0.093
"582" "M" 0.55 0.425 0.15 0.806 0.376 0.171 0.245
"498" "F" 0.605 0.485 0.165 1.0105 0.435 0.209 0.3
"2266" "F" 0.72 0.575 0.215 2.226 0.8955 0.405 0.62
"3424" "F" 0.63 0.475 0.15 1.172 0.536 0.254 0.316
"1906" "M" 0.575 0.45 0.135 0.8715 0.45 0.162 0.225
"901" "M" 0.3 0.235 0.08 0.131 0.05 0.0265 0.043
"3610" "F" 0.555 0.405 0.12 0.913 0.4585 0.196 0.2065
"1451" "M" 0.455 0.335 0.135 0.501 0.274 0.0995 0.1065
"1717" "F" 0.645 0.48 0.19 1.371 0.6925 0.2905 0.35
"700" "F" 0.395 0.315 0.105 0.3515 0.1185 0.091 0.1195
"772" "M" 0.485 0.375 0.14 0.521 0.2 0.123 0.17
"838" "M" 0.475 0.365 0.125 0.5465 0.229 0.1185 0.172
"1599" "M" 0.53 0.4 0.145 0.555 0.1935 0.1305 0.195
"1565" "M" 0.46 0.35 0.11 0.4 0.176 0.083 0.1205
"39" "F" 0.575 0.445 0.135 0.883 0.381 0.2035 0.26
"829" "M" 0.41 0.325 0.1 0.394 0.208 0.0655 0.106
